Class_name,Mean_PQMas,Mean_tm1c,Mean_tm2c,Mean_tm3c,Mean_tm4c,Mean_tm5c,Mean_tm7c
CloudShadow_Bare,16383.0000000000000000,360.0000000000000000,491.0000000000000000,497.0000000000000000,822.0000000000000000,946.0000000000000000,562.0000000000000000
CloudShadow_Bare,16383.0000000000000000,377.0000000000000000,459.0000000000000000,548.0000000000000000,856.0000000000000000,1060.0000000000000000,594.0000000000000000
CloudShadow_Bare,16383.0000000000000000,410.0000000000000000,555.0000000000000000,600.0000000000000000,890.0000000000000000,1014.0000000000000000,690.0000000000000000
CloudShadow_Veg,16383.0000000000000000,551.0000000000000000,742.0000000000000000,829.0000000000000000,1089.0000000000000000,1080.0000000000000000,720.0000000000000000
W_LargeBody,16383.0000000000000000,408.0000000000000000,842.0000000000000000,807.0000000000000000,1193.0000000000000000,558.0000000000000000,242.0000000000000000
W_LargeBody,16383.0000000000000000,832.0000000000000000,1381.0000000000000000,1399.0000000000000000,2236.0000000000000000,535.0000000000000000,306.0000000000000000
W_LargeBody,16383.0000000000000000,343.0000000000000000,682.0000000000000000,678.0000000000000000,1362.0000000000000000,467.0000000000000000,306.0000000000000000
W_LargeBody,16383.0000000000000000,260.0000000000000000,522.0000000000000000,418.0000000000000000,1463.0000000000000000,581.0000000000000000,306.0000000000000000
W_LargeBody,16383.0000000000000000,409.0000000000000000,810.0000000000000000,730.0000000000000000,1531.0000000000000000,536.0000000000000000,274.0000000000000000
W_Sea,16383.0000000000000000,1185.0000000000000000,1505.0000000000000000,1423.0000000000000000,1259.0000000000000000,945.0000000000000000,658.0000000000000000
W_Sea,15871.0000000000000000,554.0000000000000000,617.0000000000000000,287.0000000000000000,482.0000000000000000,922.0000000000000000,754.0000000000000000
W_Sea,16383.0000000000000000,1583.0000000000000000,2037.0000000000000000,1858.0000000000000000,1563.0000000000000000,1241.0000000000000000,850.0000000000000000
W_Sea,16383.0000000000000000,1960.0000000000000000,2502.0000000000000000,2290.0000000000000000,2067.0000000000000000,1150.0000000000000000,626.0000000000000000
