Bright,Class_name,Mean_PQMas,Mean_tm1c,Mean_tm2c,Mean_tm3c,Mean_tm4c,Mean_tm5c,Mean_tm7c,NDI_43,NDI_52,NDI_54,NDI_72,NDI_74,Scene_Name,X_Min_Pxl,Y_Min_Pxl
449.3333333333330000,CloudShadow_Bare,16383.0000000000000000,360.0000000000000000,491.0000000000000000,497.0000000000000000,822.0000000000000000,946.0000000000000000,562.0000000000000000,0.2463987869598180,0.3166318719554620,0.0701357466063348,0.0674264007597341,-0.1878612716763000,115_-032_2011-01-02T01-55-10.679038,3614.0000000000000000,2082.0000000000000000
461.3333333333330000,CloudShadow_Bare,16383.0000000000000000,377.0000000000000000,459.0000000000000000,548.0000000000000000,856.0000000000000000,1060.0000000000000000,594.0000000000000000,0.2193732193732190,0.3956550362080310,0.1064718162839240,0.1282051282051280,-0.1806896551724130,115_-032_2011-01-02T01-55-10.679038,3611.0000000000000000,2070.0000000000000000
521.6666666666660000,CloudShadow_Bare,16383.0000000000000000,410.0000000000000000,555.0000000000000000,600.0000000000000000,890.0000000000000000,1014.0000000000000000,690.0000000000000000,0.1946308724832210,0.2925430210325040,0.0651260504201681,0.1084337349397590,-0.1265822784810120,115_-032_2011-01-02T01-55-10.679038,3610.0000000000000000,2069.0000000000000000
707.3333333333330000,CloudShadow_Veg,16383.0000000000000000,551.0000000000000000,742.0000000000000000,829.0000000000000000,1089.0000000000000000,1080.0000000000000000,720.0000000000000000,0.1355578727841500,0.1855104281009870,-0.0041493775933610,-0.0150478796169631,-0.2039800995024870,115_-032_2011-01-02T01-55-10.679038,2941.0000000000000000,1638.0000000000000000
685.6666666666660000,W_LargeBody,16383.0000000000000000,408.0000000000000000,842.0000000000000000,807.0000000000000000,1193.0000000000000000,558.0000000000000000,242.0000000000000000,0.1930000000000000,-0.2028571428571420,-0.3626499143346650,-0.5535055350553500,-0.6627177700348430,115_-032_2011-01-02T01-55-10.679038,3104.0000000000000000,1109.0000000000000000
1204.0000000000000000,W_LargeBody,16383.0000000000000000,832.0000000000000000,1381.0000000000000000,1399.0000000000000000,2236.0000000000000000,535.0000000000000000,306.0000000000000000,0.2302613480055020,-0.4415448851774530,-0.6138578130638750,-0.6372258446947240,-0.7592446892210850,115_-032_2011-01-02T01-55-10.679038,3131.0000000000000000,1104.0000000000000000
567.6666666666660000,W_LargeBody,16383.0000000000000000,343.0000000000000000,682.0000000000000000,678.0000000000000000,1362.0000000000000000,467.0000000000000000,306.0000000000000000,0.3352941176470580,-0.1871192341166230,-0.4893384363039910,-0.3805668016194330,-0.6330935251798560,115_-032_2011-01-02T01-55-10.679038,3125.0000000000000000,1055.0000000000000000
400.0000000000000000,W_LargeBody,16383.0000000000000000,260.0000000000000000,522.0000000000000000,418.0000000000000000,1463.0000000000000000,581.0000000000000000,306.0000000000000000,0.5555555555555550,0.0534904805077063,-0.4315068493150680,-0.2608695652173910,-0.6540418315432440,115_-032_2011-01-02T01-55-10.679038,3111.0000000000000000,1051.0000000000000000
649.6666666666660000,W_LargeBody,16383.0000000000000000,409.0000000000000000,810.0000000000000000,730.0000000000000000,1531.0000000000000000,536.0000000000000000,274.0000000000000000,0.3542680229986730,-0.2035661218424960,-0.4813739719400090,-0.4944649446494460,-0.6963988919667590,115_-032_2011-01-02T01-55-10.679038,3140.0000000000000000,1048.0000000000000000
1371.0000000000000000,W_Sea,16383.0000000000000000,1185.0000000000000000,1505.0000000000000000,1423.0000000000000000,1259.0000000000000000,945.0000000000000000,658.0000000000000000,-0.0611483967188665,-0.2285714285714280,-0.1424682395644280,-0.3915857605177990,-0.3135106937923830,115_-032_2011-01-02T01-55-10.679038,2903.0000000000000000,986.0000000000000000
486.0000000000000000,W_Sea,15871.0000000000000000,554.0000000000000000,617.0000000000000000,287.0000000000000000,482.0000000000000000,922.0000000000000000,754.0000000000000000,0.2535760728218460,0.1981806367771280,0.3133903133903130,0.0999270605397520,0.2200647249190930,115_-032_2011-01-02T01-55-10.679038,2904.0000000000000000,957.0000000000000000
1826.0000000000000000,W_Sea,16383.0000000000000000,1583.0000000000000000,2037.0000000000000000,1858.0000000000000000,1563.0000000000000000,1241.0000000000000000,850.0000000000000000,-0.0862320958783981,-0.2428309945088460,-0.1148359486447930,-0.4111534464842390,-0.2954828014919180,115_-032_2011-01-02T01-55-10.679038,2914.0000000000000000,945.0000000000000000
2250.6666666666600000,W_Sea,16383.0000000000000000,1960.0000000000000000,2502.0000000000000000,2290.0000000000000000,2067.0000000000000000,1150.0000000000000000,626.0000000000000000,-0.0511820059674088,-0.3702081051478640,-0.2850481815355920,-0.5997442455242960,-0.5350909766060150,115_-032_2011-01-02T01-55-10.679038,2920.0000000000000000,927.0000000000000000
401.0000000000000000,W_Swamp,16383.0000000000000000,315.0000000000000000,494.0000000000000000,394.0000000000000000,926.0000000000000000,811.0000000000000000,532.0000000000000000,0.4030303030303030,0.2429118773946360,-0.0662061024755325,0.0370370370370370,-0.2702331961591220,115_-032_2011-01-02T01-55-10.679038,3206.0000000000000000,358.0000000000000000
487.6666666666660000,W_Swamp,16383.0000000000000000,348.0000000000000000,590.0000000000000000,525.0000000000000000,892.0000000000000000,651.0000000000000000,532.0000000000000000,0.2589978828510930,0.0491539081385979,-0.1561892417368760,-0.0516934046345811,-0.2528089887640450,115_-032_2011-01-02T01-55-10.679038,3205.0000000000000000,357.0000000000000000
